"","study_type","study_id","short_cite","mean_age","age_group","n","d_calc","d_var_calc","native_lang","prop_nae","infant_type","main_question_ids_preference","same_infant","method","dependent_measure","presentation","response_mode","num_trials","participant_design","setting","speaker","speaker_experience","speaker_fam","speaker_female","speech_type","exposure_phase","test_lang","original_ma","group_name_1","group_name_2","t","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","sd_1","sd_2","r","corr","gender_1","prop_female","own_mother","isMeta","isRep","mean_agec","yi","vi","sei","pval","affirm"
"1","MB","babylabbrookes","ManyBabies Consortium (2020)",410.25,"12-15 mo",16,0.268025809996838,0.126122466169132,"english",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,22.1662581699346,0.268025809996838,0.126122466169132,0.355137249762866,0.450422707248928,FALSE
"2","MB","babylabbrookes","ManyBabies Consortium (2020)",138.888888888889,"3-6 mo",20,0.674079035822965,0.1056797818317,"english",0,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,-0.447167755991286,0.674079035822965,0.1056797818317,0.325084268816103,0.0381209655857786,TRUE
"3","MB","babylabbrookes","ManyBabies Consortium (2020)",231.122807017544,"6-9 mo",15,0.574899581408515,0.138841825478395,"english",0,"typical","a.yes","3","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,7.23899208806329,0.574899581408515,0.138841825478395,0.372614848708951,0.122860165436868,FALSE
"4","MB","babylabkingswood","ManyBabies Consortium (2020)",414.091954022988,"12-15 mo",15,0.426750478150088,0.136368599510022,"english",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,22.4864210051837,0.426750478150088,0.136368599510022,0.369281193008826,0.247834689012827,FALSE
"5","MB","babylabkingswood","ManyBabies Consortium (2020)",218.326923076923,"6-9 mo",15,0.349978610572626,0.135374750464306,"english",0,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,6.1726684263449,0.349978610572626,0.135374750464306,0.367933078785131,0.341501939702766,FALSE
"6","MB","babylabkonstanz","ManyBabies Consortium (2020)",231.926315789474,"6-9 mo",15,0.841438136317581,0.145133635620827,"german",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,7.30595115239078,0.841438136317581,0.145133635620827,0.38096408704867,0.027195010695908,TRUE
"7","MB","babylablangessex","ManyBabies Consortium (2020)",229.243902439024,"6-9 mo",11,0.624972870037333,0.190695252006425,"english",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,7.08241670652001,0.624972870037333,0.190695252006425,0.436686674867032,0.152381498230407,FALSE
"8","MB","babylableiden","ManyBabies Consortium (2020)",324.708333333333,"9-12 mo",15,1.12166673732002,0.154302271160169,"dutch",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,15.0377859477124,1.12166673732002,0.154302271160169,0.39281327772896,0.00429731111439735,TRUE
"9","MB","babylablmu","ManyBabies Consortium (2020)",409.482142857143,"12-15 mo",21,0.584624158806781,0.099306969131673,"german",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,22.1022700746965,0.584624158806781,0.099306969131673,0.315130082873205,0.0635700140655591,FALSE
"10","MB","babylablmu","ManyBabies Consortium (2020)",324.384615384615,"9-12 mo",16,0.565443309463076,0.129995720878384,"german",0,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,15.0108094519859,0.565443309463076,0.129995720878384,0.360549193423566,0.116815011751852,FALSE
