unique_study_id,lab,age_group,method,d_z,n,d_z_var,mean_age,prop_monolingual,modal_lang1,mean_lang1_exposure,prop_preterm,prop_curr_earinfection,prop_hearing_vision,prop_cognitive_developmental,prop_nae,num_trials,participant_design,presentation,response_mode,setting,speaker,speaker_experience,speaker_fam,speaker_female,speech_type
babylabbrookes_singlescreen_3-6 mo,babylabbrookes,3-6 mo,singlescreen,0.6740790358229656,20,0.10567978183170024,138.39130434782606,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabkingswood_hpp_6-9 mo,babylabkingswood,6-9 mo,hpp,0.3499786105726263,15,0.13537475046430578,220.70992366412213,1,english,99.00763358778626,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabshimane_eyetracking_3-6 mo,babylabshimane,3-6 mo,eyetracking,-0.08307920348072034,13,0.15397888757790368,148.84552845528455,1,japanese,99.71544715447155,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bchdosu_singlescreen_3-6 mo,bchdosu,3-6 mo,singlescreen,0.44976968707527337,20,0.10252865964264737,139.6707317073171,1,english,99.48170731707317,NA,0,0.10365853658536585,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bllumanitoba_hpp_3-6 mo,bllumanitoba,3-6 mo,hpp,0.4915985895813929,13,0.15849363794766183,164.43636363636364,1,english,96.87272727272727,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
cdcceu_eyetracking_3-6 mo,cdcceu,3-6 mo,eyetracking,-0.3006911989495903,12,0.1685503166067863,146,1,hungarian,99.42727272727272,0,0,0.1,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
cogdevlabbyu_eyetracking_3-6 mo,cogdevlabbyu,3-6 mo,eyetracking,-0.2091851655738925,18,0.11171886713189134,136.93617021276594,1,english,98.91489361702128,0.3617021276595745,0,0,0.0425531914893617,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
escompicbsleipzig_eyetracking_3-6 mo,escompicbsleipzig,3-6 mo,eyetracking,0.14265281736141971,13,0.1542374966596375,155.71875,1,german,98.89583333333333,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
ethosrennes_eyetracking_3-6 mo,ethosrennes,3-6 mo,eyetracking,-0.21962754628970757,46,0.043740414451571945,145.64248704663208,1,french,98.96113989637306,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
icclbc_singlescreen_6-9 mo,icclbc,6-9 mo,singlescreen,0.1814476244473635,13,0.1544792930849537,231.66304347826087,1,english,99.02173913043478,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
infantcogubc_singlescreen_3-6 mo,infantcogubc,3-6 mo,singlescreen,0.3353204198814508,28,0.07243249807133458,140.85344827586206,1,english,97.46982758620689,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
lancaster_eyetracking_6-9 mo,lancaster,6-9 mo,eyetracking,0.22717694507153685,19,0.10594222847857941,225.31481481481484,1,english,100,0,0,0.08024691358024691,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
langlabucla_hpp_3-6 mo,langlabucla,3-6 mo,hpp,0.42533286095719874,29,0.07052506933284514,155.12820512820517,1,english,99.16239316239316,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
ldlottawa_singlescreen_3-6 mo,ldlottawa,3-6 mo,singlescreen,0.28255623908756317,12,0.1683299589218189,147.35766423357666,1,english,99.12408759124088,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
lppparisdescartes2_hpp_6-9 mo,lppparisdescartes2,6-9 mo,hpp,-0.05469479432512925,25,0.08002991520526269,241.6,1,french,98.65573770491804,NA,0.05901639344262295,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
minddevlabbicocca_singlescreen_3-6 mo,minddevlabbicocca,3-6 mo,singlescreen,0.498240237567761,11,0.18746007578026316,144.75,1,italian,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
socialcogumiami_eyetracking_3-6 mo,socialcogumiami,3-6 mo,eyetracking,-0.28437012832864705,18,0.1122342551373007,135.6068376068376,1,english,95.76923076923077,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
unlvmusiclab_singlescreen_3-6 mo,unlvmusiclab,3-6 mo,singlescreen,0.812014922883943,20,0.10824210293732771,139.89285714285717,1,english,99.70238095238095,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
wsigoettingen_singlescreen_3-6 mo,wsigoettingen,3-6 mo,singlescreen,-0.38417163420158995,12,0.16974141342760665,147.29591836734693,1,german,99.90816326530613,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
