lab,age_group,method,nae,d_z,n,d_z_var,mean_age,prop_monolingual,modal_lang1,mean_lang1_exposure,prop_preterm,prop_curr_earinfection,prop_hearing_vision,prop_cognitive_developmental,prop_nae,num_trials,participant_design,presentation,response_mode,setting,speaker,speaker_experience,speaker_fam,speaker_female,speech_type
babylabbrookes,12-15 mo,singlescreen,FALSE,0.26802580999683756,16,0.1261224661691322,410.25,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabbrookes,3-6 mo,singlescreen,FALSE,0.6740790358229655,20,0.10567978183170024,138.88888888888889,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabbrookes,6-9 mo,singlescreen,FALSE,0.5748995814085146,15,0.13884182547839474,231.12280701754386,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabkingswood,12-15 mo,hpp,FALSE,0.42675047815008843,15,0.13636859951002214,414.0919540229885,1,english,99.77011494252874,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabkingswood,6-9 mo,hpp,FALSE,0.34997861057262625,15,0.13537475046430578,218.32692307692307,1,english,98.9423076923077,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabkonstanz,6-9 mo,hpp,FALSE,0.8414381363175815,15,0.14513363562082673,231.92631578947368,1,german,100,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylablangessex,6-9 mo,eyetracking,FALSE,0.6249728700373334,11,0.19069525200642504,229.2439024390244,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylableiden,9-12 mo,hpp,FALSE,1.121666737320017,15,0.15430227116016887,324.7083333333333,1,dutch,97.45833333333333,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylablmu,12-15 mo,eyetracking,FALSE,0.5846241588067811,21,0.09930696913167304,409.48214285714283,1,german,97.42857142857143,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylablmu,9-12 mo,eyetracking,FALSE,0.5654433094630757,16,0.12999572087838368,324.38461538461536,1,german,98.92307692307692,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabnijmegen,6-9 mo,hpp,FALSE,0.4879403110302646,27,0.07627857173266954,234.63101604278074,1,dutch,99.70053475935829,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
