study_type,study_id,expt_num,short_cite,mean_age,age_group,n,d_calc,d_var_calc,native_lang,prop_nae,infant_type,main_question_ids_preference,same_infant,method,dependent_measure,presentation,response_mode,effect_significance_reported,num_trials,participant_design,setting,speaker,speaker_experience,speaker_fam,speaker_female,speech_type,exposure_phase,test_lang,original_ma,group_name_1,group_name_2,t,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,sd_1,sd_2,r,corr,gender_1,prop_female,unique_infants
MB,babylabbrookes,NA,ManyBabies Consortium (2020),410.25,12-15 mo,12,0.3960866706113752,0.16993509688825006,english,0,typical,yes,1,singlescreen,looking_time,tape recording,eye-tracking,NA,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,babylabbrookes,NA,ManyBabies Consortium (2020),138.88888888888889,3-6 mo,19,0.7280876057040261,0.11223831002078712,english,0,typical,yes,2,singlescreen,looking_time,tape recording,eye-tracking,NA,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,babylabbrookes,NA,ManyBabies Consortium (2020),231.12280701754386,6-9 mo,15,0.5748995814085146,0.13884182547839474,english,0,typical,yes,3,singlescreen,looking_time,tape recording,eye-tracking,NA,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,babylabkingswood,NA,ManyBabies Consortium (2020),218.32692307692307,6-9 mo,12,0.25900618420438065,0.16806425423866903,english,0,typical,yes,1,hpp,looking_time,tape recording,behavior,NA,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,babylabkonstanz,NA,ManyBabies Consortium (2020),231.92631578947368,6-9 mo,11,1.0119369288716915,0.20509128063668797,german,0,typical,yes,1,hpp,looking_time,tape recording,behavior,NA,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,babylabnijmegen,NA,ManyBabies Consortium (2020),234.63101604278074,6-9 mo,25,0.5901949535998949,0.08348330083254782,dutch,0,typical,yes,1,hpp,looking_time,tape recording,behavior,NA,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,babylabnijmegen,NA,ManyBabies Consortium (2020),333.912,9-12 mo,14,0.17513480891001557,0.1434048607373562,dutch,0,typical,yes,2,hpp,looking_time,tape recording,behavior,NA,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,babylabplymouth,NA,ManyBabies Consortium (2020),317.07272727272726,9-12 mo,18,0.5940504113017275,0.11601244293288543,english,0,typical,yes,1,hpp,looking_time,tape recording,behavior,NA,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,babylabpotsdam,NA,ManyBabies Consortium (2020),306.996632996633,9-12 mo,36,0.5964944600166064,0.05802642806132293,german,0,typical,yes,1,hpp,looking_time,tape recording,behavior,NA,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,babylabpotsdam,NA,ManyBabies Consortium (2020),306.996632996633,9-12 mo,36,0.5964944600166064,0.05802642806132293,german,0,typical,yes,2,hpp,looking_time,tape recording,eye-tracking,NA,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
