"","study_type","study_id","expt_num","short_cite","mean_age","age_group","n","d_calc","d_var_calc","native_lang","prop_nae","infant_type","main_question_ids_preference","same_infant","method","dependent_measure","presentation","response_mode","effect_significance_reported","nae","num_trials","participant_design","setting","speaker","speaker_experience","speaker_fam","speaker_female","speech_type","exposure_phase","test_lang","original_ma","group_name_1","group_name_2","t","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","sd_1","sd_2","r","corr","gender_1","es_method","prop_female","unique_infants","own_mother","isMeta","isRep","mean_agec_mos","test_lang_a.native","test_lang_b.nonnative","test_lang_c.artificial","method_a.cf","method_b.hpp","method_c.other","speech_type_a.simulated","speech_type_b.naturalistic","speech_type_c.filtered","speech_type_d.synthesized","own_mother_a.no","own_mother_b.yes","presentation_a.tape recording","presentation_b.video recording","dependent_measure_a.preference","dependent_measure_b.affect","main_question_ids_preference_a.yes","main_question_ids_preference_b.no","unique","yi","vi","sei","lo","hi","studyTypePretty","sourcePretty","pval","affirm"
"1","MB","babylabbrookes",NA,"ManyBabies Consortium (2020)",410.25,"12-15 mo",16,0.268025809996838,0.126122466169132,"english",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",NA,FALSE,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,8.50067494922948,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabbrookes, #1",0.268025809996838,0.126122466169132,0.355137249762866,-0.428030409106985,0.96408202910066,"Replications","Replications",0.450422707248928,FALSE
"2","MB","babylabbrookes",NA,"ManyBabies Consortium (2020)",138.888888888889,"3-6 mo",20,0.674079035822965,0.1056797818317,"english",0,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",NA,FALSE,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,-0.413947623408859,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabbrookes, #2",0.674079035822965,0.1056797818317,0.325084268816103,0.0369255770028666,1.31123249464306,"Replications","Replications",0.0381209655857786,TRUE
"3","MB","babylabbrookes",NA,"ManyBabies Consortium (2020)",231.122807017544,"6-9 mo",15,0.574899581408515,0.138841825478395,"english",0,"typical","a.yes","3","a.cf","a.preference","a.tape recording","eye-tracking",NA,FALSE,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.61607596820267,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabbrookes, #3",0.574899581408515,0.138841825478395,0.372614848708951,-0.155412102165871,1.3052112649829,"Replications","Replications",0.122860165436868,FALSE
"4","MB","babylabkingswood",NA,"ManyBabies Consortium (2020)",414.091954022988,"12-15 mo",15,0.426750478150088,0.136368599510022,"english",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,FALSE,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,8.62688894472845,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabkingswood, #1",0.426750478150088,0.136368599510022,0.369281193008826,-0.297027360315196,1.15052831661537,"Replications","Replications",0.247834689012827,FALSE
"5","MB","babylabkingswood",NA,"ManyBabies Consortium (2020)",218.326923076923,"6-9 mo",15,0.349978610572626,0.135374750464306,"english",0,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",NA,FALSE,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.19571184400357,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabkingswood, #2",0.349978610572626,0.135374750464306,0.367933078785131,-0.37115697256717,1.07111419371242,"Replications","Replications",0.341501939702766,FALSE
"6","MB","babylabkonstanz",NA,"ManyBabies Consortium (2020)",231.926315789474,"6-9 mo",15,0.841438136317581,0.145133635620827,"german",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,FALSE,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.64247244559853,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabkonstanz, #1",0.841438136317581,0.145133635620827,0.38096408704867,0.094762246299006,1.58811402633616,"Replications","Replications",0.027195010695908,TRUE
"7","MB","babylablangessex",NA,"ManyBabies Consortium (2020)",229.243902439024,"6-9 mo",11,0.624972870037333,0.190695252006425,"english",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",NA,FALSE,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.55435111345499,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylablangessex, #1",0.624972870037333,0.190695252006425,0.436686674867032,-0.230917285230602,1.48086302530527,"Replications","Replications",0.152381498230407,FALSE
"8","MB","babylableiden",NA,"ManyBabies Consortium (2020)",324.708333333333,"9-12 mo",15,1.12166673732002,0.154302271160169,"dutch",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,FALSE,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.69050193127066,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylableiden, #1",1.12166673732002,0.154302271160169,0.39281327772896,0.351766860322126,1.89156661431791,"Replications","Replications",0.00429731111439735,TRUE
"9","MB","babylablmu",NA,"ManyBabies Consortium (2020)",409.482142857143,"12-15 mo",21,0.584624158806781,0.099306969131673,"german",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",NA,FALSE,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,8.47544968172432,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylablmu, #1",0.584624158806781,0.099306969131673,0.315130082873205,-0.0330194540698231,1.20226777168339,"Replications","Replications",0.0635700140655591,FALSE
"10","MB","babylablmu",NA,"ManyBabies Consortium (2020)",324.384615384615,"9-12 mo",16,0.565443309463076,0.129995720878384,"german",0,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",NA,FALSE,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.67986730746258,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylablmu, #2",0.565443309463076,0.129995720878384,0.360549193423566,-0.141220124302078,1.27210674322823,"Replications","Replications",0.116815011751852,FALSE
