"","study_type","study_id","expt_num","short_cite","mean_age","age_group","n","d_calc","d_var_calc","native_lang","prop_nae","infant_type","main_question_ids_preference","same_infant","method","dependent_measure","presentation","response_mode","effect_significance_reported","num_trials","participant_design","setting","speaker","speaker_experience","speaker_fam","speaker_female","speech_type","exposure_phase","test_lang","original_ma","group_name_1","group_name_2","t","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","sd_1","sd_2","r","corr","gender_1","prop_female","unique_infants","own_mother","isMeta","isRep","mean_agec_mos","test_lang_a.native","test_lang_b.nonnative","test_lang_c.artificial","method_a.cf","method_b.hpp","method_c.other","speech_type_a.simulated","speech_type_b.naturalistic","speech_type_c.filtered","speech_type_d.synthesized","own_mother_a.no","own_mother_b.yes","presentation_a.tape recording","presentation_b.video recording","dependent_measure_a.preference","dependent_measure_b.affect","main_question_ids_preference_a.yes","main_question_ids_preference_b.no","unique","yi","vi","sei","lo","hi","studyTypePretty","sourcePretty","pval","affirm"
"1","MB","babylabbrookes",NA,"ManyBabies Consortium (2020)",410.25,"12-15 mo",12,0.396086670611375,0.16993509688825,"english",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,8.50067494922948,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabbrookes, #1",0.396086670611375,0.16993509688825,0.412231848464247,-0.411872905658922,1.20404624688167,"Replications","Replications",0.336635280671241,FALSE
"2","MB","babylabbrookes",NA,"ManyBabies Consortium (2020)",138.888888888889,"3-6 mo",19,0.728087605704026,0.112238310020787,"english",0,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,-0.413947623408859,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabbrookes, #2",0.728087605704026,0.112238310020787,0.335019865113678,0.0714607359757502,1.3847144754323,"Replications","Replications",0.02976023025602,TRUE
"3","MB","babylabbrookes",NA,"ManyBabies Consortium (2020)",231.122807017544,"6-9 mo",15,0.574899581408515,0.138841825478395,"english",0,"typical","a.yes","3","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.61607596820267,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabbrookes, #3",0.574899581408515,0.138841825478395,0.372614848708951,-0.155412102165871,1.3052112649829,"Replications","Replications",0.122860165436868,FALSE
"4","MB","babylabkingswood",NA,"ManyBabies Consortium (2020)",218.326923076923,"6-9 mo",12,0.259006184204381,0.168064254238669,"english",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.19571184400357,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabkingswood, #1",0.259006184204381,0.168064254238669,0.409956405290452,-0.54449360539641,1.06250597380517,"Replications","Replications",0.527524384831482,FALSE
"5","MB","babylabkonstanz",NA,"ManyBabies Consortium (2020)",231.926315789474,"6-9 mo",11,1.01193692887169,0.205091280636688,"german",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.64247244559853,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabkonstanz, #1",1.01193692887169,0.205091280636688,0.452870048288345,0.12432794454962,1.89954591319376,"Replications","Replications",0.0254503658331802,TRUE
"6","MB","babylabnijmegen",NA,"ManyBabies Consortium (2020)",234.631016042781,"6-9 mo",25,0.590194953599895,0.0834833008325478,"dutch",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.73132593618023,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabnijmegen, #1",0.590194953599895,0.0834833008325478,0.288934769165201,0.0238932121547075,1.15649669504508,"Replications","Replications",0.0410862929221063,TRUE
"7","MB","babylabnijmegen",NA,"ManyBabies Consortium (2020)",333.912,"9-12 mo",14,0.175134808910016,0.143404860737356,"dutch",0,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.99285628957114,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabnijmegen, #2",0.175134808910016,0.143404860737356,0.378688342489383,-0.567080703734344,0.917350321554375,"Replications","Replications",0.643738988773829,FALSE
"8","MB","babylabplymouth",NA,"ManyBabies Consortium (2020)",317.072727272727,"9-12 mo",18,0.594050411301728,0.116012442932885,"english",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.43966073348465,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabplymouth, #1",0.594050411301728,0.116012442932885,0.340605993683149,-0.0735250692357218,1.26162589183918,"Replications","Replications",0.0811419111691645,FALSE
"9","MB","babylabpotsdam",NA,"ManyBabies Consortium (2020)",306.996632996633,"9-12 mo",36,0.596494460016606,0.0580264280613229,"german",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.10864580982847,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabpotsdam, #1",0.596494460016606,0.0580264280613229,0.240886753602856,0.124365098602235,1.06862382143098,"Replications","Replications",0.0132772678114483,TRUE
"10","MB","babylabpotsdam",NA,"ManyBabies Consortium (2020)",306.996632996633,"9-12 mo",36,0.596494460016606,0.0580264280613229,"german",0,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.10864580982847,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabpotsdam, #2",0.596494460016606,0.0580264280613229,0.240886753602856,0.124365098602235,1.06862382143098,"Replications","Replications",0.0132772678114483,TRUE
